Unnamed: 0	Description	CancerType	ClassType	Iteration	fold	Algorithm	DefaultParameters	AUROC
26	Clinical	TCGA_THCA	PFI	1	2	naiveBayes	0	0.5904761904761899
27	Clinical	TCGA_THCA	PFI	1	3	naiveBayes	0	0.525
28	Clinical	TCGA_THCA	PFI	1	4	naiveBayes	0	0.4
29	Clinical	TCGA_THCA	PFI	1	5	naiveBayes	0	0.52
30	Clinical	TCGA_THCA	PFI	2	1	naiveBayes	0	0.438095238095238
31	Clinical	TCGA_THCA	PFI	2	2	naiveBayes	0	0.6761904761904761
32	Clinical	TCGA_THCA	PFI	2	3	naiveBayes	0	0.266666666666667
33	Clinical	TCGA_THCA	PFI	2	4	naiveBayes	0	0.5416666666666671
34	Clinical	TCGA_THCA	PFI	2	5	naiveBayes	0	0.4
35	Clinical	TCGA_THCA	PFI	3	1	naiveBayes	0	0.647619047619048
36	Clinical	TCGA_THCA	PFI	3	2	naiveBayes	0	0.33333333333333304
37	Clinical	TCGA_THCA	PFI	3	3	naiveBayes	0	0.5083333333333329
38	Clinical	TCGA_THCA	PFI	3	4	naiveBayes	0	0.4833333333333329
39	Clinical	TCGA_THCA	PFI	3	5	naiveBayes	0	0.66
40	Clinical	TCGA_THCA	PFI	4	1	naiveBayes	0	0.4666666666666671
41	Clinical	TCGA_THCA	PFI	4	2	naiveBayes	0	0.6952380952380949
42	Clinical	TCGA_THCA	PFI	4	3	naiveBayes	0	0.308333333333333
43	Clinical	TCGA_THCA	PFI	4	4	naiveBayes	0	0.725
44	Clinical	TCGA_THCA	PFI	4	5	naiveBayes	0	0.38
45	Clinical	TCGA_THCA	PFI	5	1	naiveBayes	0	0.666666666666667
46	Clinical	TCGA_THCA	PFI	5	2	naiveBayes	0	0.40952380952380896
47	Clinical	TCGA_THCA	PFI	5	3	naiveBayes	0	0.658333333333333
48	Clinical	TCGA_THCA	PFI	5	4	naiveBayes	0	0.775
49	Clinical	TCGA_THCA	PFI	5	5	naiveBayes	0	0.34
50	Clinical	TCGA_THCA	PFI	1	1	knn	0	0.633333333333333
51	Clinical	TCGA_THCA	PFI	1	2	knn	0	0.6190476190476191
52	Clinical	TCGA_THCA	PFI	1	3	knn	0	0.75
53	Clinical	TCGA_THCA	PFI	1	4	knn	0	0.554166666666667
54	Clinical	TCGA_THCA	PFI	1	5	knn	0	0.38
55	Clinical	TCGA_THCA	PFI	2	1	knn	0	0.3666666666666671
56	Clinical	TCGA_THCA	PFI	2	2	knn	0	0.5333333333333329
57	Clinical	TCGA_THCA	PFI	2	3	knn	0	0.5875
58	Clinical	TCGA_THCA	PFI	2	4	knn	0	0.658333333333333
59	Clinical	TCGA_THCA	PFI	2	5	knn	0	0.64
60	Clinical	TCGA_THCA	PFI	3	1	knn	0	0.8142857142857142
61	Clinical	TCGA_THCA	PFI	3	2	knn	0	0.5904761904761899
62	Clinical	TCGA_THCA	PFI	3	3	knn	0	0.5125
63	Clinical	TCGA_THCA	PFI	3	4	knn	0	0.658333333333333
64	Clinical	TCGA_THCA	PFI	3	5	knn	0	0.695
65	Clinical	TCGA_THCA	PFI	4	1	knn	0	0.628571428571429
66	Clinical	TCGA_THCA	PFI	4	2	knn	0	0.7904761904761909
67	Clinical	TCGA_THCA	PFI	4	3	knn	0	0.3916666666666671
68	Clinical	TCGA_THCA	PFI	4	4	knn	0	0.4875
69	Clinical	TCGA_THCA	PFI	4	5	knn	0	0.67
70	Clinical	TCGA_THCA	PFI	5	1	knn	0	0.752380952380952
71	Clinical	TCGA_THCA	PFI	5	2	knn	0	0.495238095238095
72	Clinical	TCGA_THCA	PFI	5	3	knn	0	0.55
73	Clinical	TCGA_THCA	PFI	5	4	knn	0	0.716666666666667
74	Clinical	TCGA_THCA	PFI	5	5	knn	0	0.635
75	Clinical	TCGA_THCA	PFI	1	1	VFI	0	0.628571428571429
76	Clinical	TCGA_THCA	PFI	1	2	VFI	0	0.647619047619048
77	Clinical	TCGA_THCA	PFI	1	3	VFI	0	0.316666666666667
78	Clinical	TCGA_THCA	PFI	1	4	VFI	0	0.4208333333333329
79	Clinical	TCGA_THCA	PFI	1	5	VFI	0	0.485
80	Clinical	TCGA_THCA	PFI	2	1	VFI	0	0.5904761904761899
81	Clinical	TCGA_THCA	PFI	2	2	VFI	0	0.7
82	Clinical	TCGA_THCA	PFI	2	3	VFI	0	0.229166666666667
83	Clinical	TCGA_THCA	PFI	2	4	VFI	0	0.5291666666666671
84	Clinical	TCGA_THCA	PFI	2	5	VFI	0	0.495
85	Clinical	TCGA_THCA	PFI	3	1	VFI	0	0.704761904761905
86	Clinical	TCGA_THCA	PFI	3	2	VFI	0	0.33333333333333304
87	Clinical	TCGA_THCA	PFI	3	3	VFI	0	0.5625
88	Clinical	TCGA_THCA	PFI	3	4	VFI	0	0.5291666666666671
89	Clinical	TCGA_THCA	PFI	3	5	VFI	0	0.555
90	Clinical	TCGA_THCA	PFI	4	1	VFI	0	0.5857142857142861
91	Clinical	TCGA_THCA	PFI	4	2	VFI	0	0.6380952380952379
92	Clinical	TCGA_THCA	PFI	4	3	VFI	0	0.3541666666666671
93	Clinical	TCGA_THCA	PFI	4	4	VFI	0	0.791666666666667
94	Clinical	TCGA_THCA	PFI	4	5	VFI	0	0.39
95	Clinical	TCGA_THCA	PFI	5	1	VFI	0	0.69047619047619
96	Clinical	TCGA_THCA	PFI	5	2	VFI	0	0.34761904761904805
97	Clinical	TCGA_THCA	PFI	5	3	VFI	0	0.620833333333333
98	Clinical	TCGA_THCA	PFI	5	4	VFI	0	0.758333333333333
99	Clinical	TCGA_THCA	PFI	5	5	VFI	0	0.32
100	Clinical	TCGA_THCA	PFI	1	1	svm	0	0.4857142857142861
101	Clinical	TCGA_THCA	PFI	1	2	svm	0	0.6
102	Clinical	TCGA_THCA	PFI	1	3	svm	0	0.28333333333333305
103	Clinical	TCGA_THCA	PFI	1	4	svm	0	0.341666666666667
104	Clinical	TCGA_THCA	PFI	1	5	svm	0	0.4
105	Clinical	TCGA_THCA	PFI	2	1	svm	0	0.5142857142857139
106	Clinical	TCGA_THCA	PFI	2	2	svm	0	0.219047619047619
107	Clinical	TCGA_THCA	PFI	2	3	svm	0	0.4583333333333329
108	Clinical	TCGA_THCA	PFI	2	4	svm	0	0.6
109	Clinical	TCGA_THCA	PFI	2	5	svm	0	0.46
110	Clinical	TCGA_THCA	PFI	3	1	svm	0	0.41904761904761895
111	Clinical	TCGA_THCA	PFI	3	2	svm	0	0.580952380952381
112	Clinical	TCGA_THCA	PFI	3	3	svm	0	0.641666666666667
113	Clinical	TCGA_THCA	PFI	3	4	svm	0	0.675
114	Clinical	TCGA_THCA	PFI	3	5	svm	0	0.45
115	Clinical	TCGA_THCA	PFI	4	1	svm	0	0.6
116	Clinical	TCGA_THCA	PFI	4	2	svm	0	0.4666666666666671
117	Clinical	TCGA_THCA	PFI	4	3	svm	0	0.4416666666666671
118	Clinical	TCGA_THCA	PFI	4	4	svm	0	0.666666666666667
119	Clinical	TCGA_THCA	PFI	4	5	svm	0	0.42
120	Clinical	TCGA_THCA	PFI	5	1	svm	0	0.323809523809524
121	Clinical	TCGA_THCA	PFI	5	2	svm	0	0.523809523809524
122	Clinical	TCGA_THCA	PFI	5	3	svm	0	0.5083333333333329
123	Clinical	TCGA_THCA	PFI	5	4	svm	0	0.40833333333333294
124	Clinical	TCGA_THCA	PFI	5	5	svm	0	0.57
125	Clinical	TCGA_THCA	PFI	1	1	xgboost	0	0.9047619047619052
126	Clinical	TCGA_THCA	PFI	1	2	xgboost	0	0.6
127	Clinical	TCGA_THCA	PFI	1	3	xgboost	0	0.554166666666667
128	Clinical	TCGA_THCA	PFI	1	4	xgboost	0	0.3583333333333329
129	Clinical	TCGA_THCA	PFI	1	5	xgboost	0	0.56
130	Clinical	TCGA_THCA	PFI	2	1	xgboost	0	0.7
131	Clinical	TCGA_THCA	PFI	2	2	xgboost	0	0.6571428571428571
132	Clinical	TCGA_THCA	PFI	2	3	xgboost	0	0.23333333333333306
133	Clinical	TCGA_THCA	PFI	2	4	xgboost	0	0.775
134	Clinical	TCGA_THCA	PFI	2	5	xgboost	0	0.55
135	Clinical	TCGA_THCA	PFI	3	1	xgboost	0	0.8
136	Clinical	TCGA_THCA	PFI	3	2	xgboost	0	0.5142857142857139
137	Clinical	TCGA_THCA	PFI	3	3	xgboost	0	0.4583333333333329
138	Clinical	TCGA_THCA	PFI	3	4	xgboost	0	0.7
139	Clinical	TCGA_THCA	PFI	3	5	xgboost	0	0.77
140	Clinical	TCGA_THCA	PFI	4	1	xgboost	0	0.552380952380952
141	Clinical	TCGA_THCA	PFI	4	2	xgboost	0	0.8619047619047621
142	Clinical	TCGA_THCA	PFI	4	3	xgboost	0	0.45
143	Clinical	TCGA_THCA	PFI	4	4	xgboost	0	0.766666666666667
144	Clinical	TCGA_THCA	PFI	4	5	xgboost	0	0.65
145	Clinical	TCGA_THCA	PFI	5	1	xgboost	0	0.6380952380952379
146	Clinical	TCGA_THCA	PFI	5	2	xgboost	0	0.552380952380952
147	Clinical	TCGA_THCA	PFI	5	3	xgboost	0	0.575
148	Clinical	TCGA_THCA	PFI	5	4	xgboost	0	0.566666666666667
149	Clinical	TCGA_THCA	PFI	5	5	xgboost	0	0.505
150	Clinical	TCGA_THCA	PFI	1	1	logistic_regression	0	0.628571428571429
151	Clinical	TCGA_THCA	PFI	1	2	logistic_regression	0	0.6
152	Clinical	TCGA_THCA	PFI	1	3	logistic_regression	0	0.4916666666666671
153	Clinical	TCGA_THCA	PFI	1	4	logistic_regression	0	0.28333333333333305
154	Clinical	TCGA_THCA	PFI	1	5	logistic_regression	0	0.44
155	Clinical	TCGA_THCA	PFI	2	1	logistic_regression	0	0.5904761904761899
156	Clinical	TCGA_THCA	PFI	2	2	logistic_regression	0	0.5904761904761899
157	Clinical	TCGA_THCA	PFI	2	3	logistic_regression	0	0.316666666666667
158	Clinical	TCGA_THCA	PFI	2	4	logistic_regression	0	0.708333333333333
159	Clinical	TCGA_THCA	PFI	2	5	logistic_regression	0	0.37
160	Clinical	TCGA_THCA	PFI	3	1	logistic_regression	0	0.628571428571429
161	Clinical	TCGA_THCA	PFI	3	2	logistic_regression	0	0.447619047619048
162	Clinical	TCGA_THCA	PFI	3	3	logistic_regression	0	0.641666666666667
163	Clinical	TCGA_THCA	PFI	3	4	logistic_regression	0	0.558333333333333
164	Clinical	TCGA_THCA	PFI	3	5	logistic_regression	0	0.64
165	Clinical	TCGA_THCA	PFI	4	1	logistic_regression	0	0.647619047619048
166	Clinical	TCGA_THCA	PFI	4	2	logistic_regression	0	0.7714285714285709
167	Clinical	TCGA_THCA	PFI	4	3	logistic_regression	0	0.40833333333333294
168	Clinical	TCGA_THCA	PFI	4	4	logistic_regression	0	0.683333333333333
169	Clinical	TCGA_THCA	PFI	4	5	logistic_regression	0	0.44
170	Clinical	TCGA_THCA	PFI	5	1	logistic_regression	0	0.80952380952381
171	Clinical	TCGA_THCA	PFI	5	2	logistic_regression	0	0.361904761904762
172	Clinical	TCGA_THCA	PFI	5	3	logistic_regression	0	0.575
173	Clinical	TCGA_THCA	PFI	5	4	logistic_regression	0	0.683333333333333
174	Clinical	TCGA_THCA	PFI	5	5	logistic_regression	0	0.51
200	Clinical	TCGA_THCA	PFI	1	1	random_forest	0	0.6428571428571429
201	Clinical	TCGA_THCA	PFI	1	2	random_forest	0	0.7809523809523811
202	Clinical	TCGA_THCA	PFI	1	3	random_forest	0	0.575
203	Clinical	TCGA_THCA	PFI	1	4	random_forest	0	0.4
204	Clinical	TCGA_THCA	PFI	1	5	random_forest	0	0.44
205	Clinical	TCGA_THCA	PFI	2	1	random_forest	0	0.576190476190476
206	Clinical	TCGA_THCA	PFI	2	2	random_forest	0	0.6857142857142859
207	Clinical	TCGA_THCA	PFI	2	3	random_forest	0	0.4333333333333329
208	Clinical	TCGA_THCA	PFI	2	4	random_forest	0	0.5875
209	Clinical	TCGA_THCA	PFI	2	5	random_forest	0	0.55
210	Clinical	TCGA_THCA	PFI	3	1	random_forest	0	0.7714285714285709
211	Clinical	TCGA_THCA	PFI	3	2	random_forest	0	0.5333333333333329
212	Clinical	TCGA_THCA	PFI	3	3	random_forest	0	0.591666666666667
213	Clinical	TCGA_THCA	PFI	3	4	random_forest	0	0.558333333333333
214	Clinical	TCGA_THCA	PFI	3	5	random_forest	0	0.745
215	Clinical	TCGA_THCA	PFI	4	1	random_forest	0	0.495238095238095
216	Clinical	TCGA_THCA	PFI	4	2	random_forest	0	0.876190476190476
217	Clinical	TCGA_THCA	PFI	4	3	random_forest	0	0.4791666666666671
218	Clinical	TCGA_THCA	PFI	4	4	random_forest	0	0.716666666666667
219	Clinical	TCGA_THCA	PFI	4	5	random_forest	0	0.55
220	Clinical	TCGA_THCA	PFI	5	1	random_forest	0	0.5714285714285711
221	Clinical	TCGA_THCA	PFI	5	2	random_forest	0	0.5619047619047621
222	Clinical	TCGA_THCA	PFI	5	3	random_forest	0	0.5208333333333329
223	Clinical	TCGA_THCA	PFI	5	4	random_forest	0	0.691666666666667
224	Clinical	TCGA_THCA	PFI	5	5	random_forest	0	0.22
225	Clinical	TCGA_STAD	PFI	1	1	glmnet	0	0.842857142857143
226	Clinical	TCGA_STAD	PFI	1	2	glmnet	0	0.692857142857143
227	Clinical	TCGA_STAD	PFI	1	3	glmnet	0	0.7692307692307689
228	Clinical	TCGA_STAD	PFI	1	4	glmnet	0	0.546153846153846
229	Clinical	TCGA_STAD	PFI	1	5	glmnet	0	0.6461538461538461
230	Clinical	TCGA_STAD	PFI	2	1	glmnet	0	0.8714285714285709
231	Clinical	TCGA_STAD	PFI	2	2	glmnet	0	0.8214285714285708
232	Clinical	TCGA_STAD	PFI	2	3	glmnet	0	0.538461538461539
233	Clinical	TCGA_STAD	PFI	2	4	glmnet	0	0.7692307692307689
234	Clinical	TCGA_STAD	PFI	2	5	glmnet	0	0.6
235	Clinical	TCGA_STAD	PFI	3	1	glmnet	0	0.8785714285714291
236	Clinical	TCGA_STAD	PFI	3	2	glmnet	0	0.792857142857143
237	Clinical	TCGA_STAD	PFI	3	3	glmnet	0	0.8251748251748249
238	Clinical	TCGA_STAD	PFI	3	4	glmnet	0	0.6
239	Clinical	TCGA_STAD	PFI	3	5	glmnet	0	0.946153846153846
240	Clinical	TCGA_STAD	PFI	4	1	glmnet	0	0.8142857142857142
241	Clinical	TCGA_STAD	PFI	4	2	glmnet	0	0.6428571428571429
242	Clinical	TCGA_STAD	PFI	4	3	glmnet	0	0.8811188811188809
243	Clinical	TCGA_STAD	PFI	4	4	glmnet	0	0.869230769230769
244	Clinical	TCGA_STAD	PFI	4	5	glmnet	0	0.707692307692308
245	Clinical	TCGA_STAD	PFI	5	1	glmnet	0	0.6857142857142859
246	Clinical	TCGA_STAD	PFI	5	2	glmnet	0	0.8
247	Clinical	TCGA_STAD	PFI	5	3	glmnet	0	0.79020979020979
248	Clinical	TCGA_STAD	PFI	5	4	glmnet	0	0.907692307692308
249	Clinical	TCGA_STAD	PFI	5	5	glmnet	0	0.976923076923077
250	Clinical	TCGA_STAD	PFI	1	1	naiveBayes	0	0.8285714285714291
251	Clinical	TCGA_STAD	PFI	1	2	naiveBayes	0	0.5714285714285711
252	Clinical	TCGA_STAD	PFI	1	3	naiveBayes	0	0.818181818181818
253	Clinical	TCGA_STAD	PFI	1	4	naiveBayes	0	0.7230769230769231
254	Clinical	TCGA_STAD	PFI	1	5	naiveBayes	0	0.6923076923076921
255	Clinical	TCGA_STAD	PFI	2	1	naiveBayes	0	0.9
256	Clinical	TCGA_STAD	PFI	2	2	naiveBayes	0	0.7214285714285709
257	Clinical	TCGA_STAD	PFI	2	3	naiveBayes	0	0.573426573426573
258	Clinical	TCGA_STAD	PFI	2	4	naiveBayes	0	0.823076923076923
259	Clinical	TCGA_STAD	PFI	2	5	naiveBayes	0	0.638461538461538
260	Clinical	TCGA_STAD	PFI	3	1	naiveBayes	0	0.8214285714285708
261	Clinical	TCGA_STAD	PFI	3	2	naiveBayes	0	0.628571428571429
262	Clinical	TCGA_STAD	PFI	3	3	naiveBayes	0	0.79020979020979
263	Clinical	TCGA_STAD	PFI	3	4	naiveBayes	0	0.623076923076923
264	Clinical	TCGA_STAD	PFI	3	5	naiveBayes	0	0.9
265	Clinical	TCGA_STAD	PFI	4	1	naiveBayes	0	0.8214285714285721
266	Clinical	TCGA_STAD	PFI	4	2	naiveBayes	0	0.75
267	Clinical	TCGA_STAD	PFI	4	3	naiveBayes	0	0.7132867132867131
268	Clinical	TCGA_STAD	PFI	4	4	naiveBayes	0	0.8461538461538459
269	Clinical	TCGA_STAD	PFI	4	5	naiveBayes	0	0.7230769230769231
270	Clinical	TCGA_STAD	PFI	5	1	naiveBayes	0	0.692857142857143
271	Clinical	TCGA_STAD	PFI	5	2	naiveBayes	0	0.8285714285714291
272	Clinical	TCGA_STAD	PFI	5	3	naiveBayes	0	0.741258741258741
273	Clinical	TCGA_STAD	PFI	5	4	naiveBayes	0	0.8846153846153849
274	Clinical	TCGA_STAD	PFI	5	5	naiveBayes	0	0.930769230769231
275	Clinical	TCGA_STAD	PFI	1	1	knn	0	0.7714285714285709
276	Clinical	TCGA_STAD	PFI	1	2	knn	0	0.782142857142857
277	Clinical	TCGA_STAD	PFI	1	3	knn	0	0.706293706293706
278	Clinical	TCGA_STAD	PFI	1	4	knn	0	0.615384615384615
279	Clinical	TCGA_STAD	PFI	1	5	knn	0	0.653846153846154
280	Clinical	TCGA_STAD	PFI	2	1	knn	0	0.8285714285714291
281	Clinical	TCGA_STAD	PFI	2	2	knn	0	0.8642857142857142
282	Clinical	TCGA_STAD	PFI	2	3	knn	0	0.573426573426573
283	Clinical	TCGA_STAD	PFI	2	4	knn	0	0.7307692307692311
284	Clinical	TCGA_STAD	PFI	2	5	knn	0	0.476923076923077
285	Clinical	TCGA_STAD	PFI	3	1	knn	0	0.807142857142857
286	Clinical	TCGA_STAD	PFI	3	2	knn	0	0.646428571428571
287	Clinical	TCGA_STAD	PFI	3	3	knn	0	0.7482517482517479
288	Clinical	TCGA_STAD	PFI	3	4	knn	0	0.638461538461539
289	Clinical	TCGA_STAD	PFI	3	5	knn	0	0.676923076923077
290	Clinical	TCGA_STAD	PFI	4	1	knn	0	0.7857142857142858
291	Clinical	TCGA_STAD	PFI	4	2	knn	0	0.575
292	Clinical	TCGA_STAD	PFI	4	3	knn	0	0.741258741258741
293	Clinical	TCGA_STAD	PFI	4	4	knn	0	0.746153846153846
294	Clinical	TCGA_STAD	PFI	4	5	knn	0	0.653846153846154
295	Clinical	TCGA_STAD	PFI	5	1	knn	0	0.707142857142857
296	Clinical	TCGA_STAD	PFI	5	2	knn	0	0.7142857142857142
297	Clinical	TCGA_STAD	PFI	5	3	knn	0	0.6643356643356639
298	Clinical	TCGA_STAD	PFI	5	4	knn	0	0.7769230769230769
299	Clinical	TCGA_STAD	PFI	5	5	knn	0	0.9
300	Clinical	TCGA_STAD	PFI	1	1	VFI	0	0.8
301	Clinical	TCGA_STAD	PFI	1	2	VFI	0	0.707142857142857
302	Clinical	TCGA_STAD	PFI	1	3	VFI	0	0.783216783216783
303	Clinical	TCGA_STAD	PFI	1	4	VFI	0	0.511538461538461
304	Clinical	TCGA_STAD	PFI	1	5	VFI	0	0.65
305	Clinical	TCGA_STAD	PFI	2	1	VFI	0	0.8535714285714291
306	Clinical	TCGA_STAD	PFI	2	2	VFI	0	0.682142857142857
307	Clinical	TCGA_STAD	PFI	2	3	VFI	0	0.5874125874125871
308	Clinical	TCGA_STAD	PFI	2	4	VFI	0	0.842307692307692
309	Clinical	TCGA_STAD	PFI	2	5	VFI	0	0.6615384615384621
310	Clinical	TCGA_STAD	PFI	3	1	VFI	0	0.7214285714285709
311	Clinical	TCGA_STAD	PFI	3	2	VFI	0	0.635714285714286
312	Clinical	TCGA_STAD	PFI	3	3	VFI	0	0.7307692307692311
313	Clinical	TCGA_STAD	PFI	3	4	VFI	0	0.869230769230769
314	Clinical	TCGA_STAD	PFI	3	5	VFI	0	0.8461538461538459
315	Clinical	TCGA_STAD	PFI	4	1	VFI	0	0.842857142857143
316	Clinical	TCGA_STAD	PFI	4	2	VFI	0	0.578571428571429
317	Clinical	TCGA_STAD	PFI	4	3	VFI	0	0.7132867132867131
318	Clinical	TCGA_STAD	PFI	4	4	VFI	0	0.626923076923077
319	Clinical	TCGA_STAD	PFI	4	5	VFI	0	0.719230769230769
320	Clinical	TCGA_STAD	PFI	5	1	VFI	0	0.5928571428571429
321	Clinical	TCGA_STAD	PFI	5	2	VFI	0	0.7392857142857142
322	Clinical	TCGA_STAD	PFI	5	3	VFI	0	0.643356643356643
323	Clinical	TCGA_STAD	PFI	5	4	VFI	0	0.761538461538462
324	Clinical	TCGA_STAD	PFI	5	5	VFI	0	0.915384615384615
325	Clinical	TCGA_STAD	PFI	1	1	svm	0	0.757142857142857
326	Clinical	TCGA_STAD	PFI	1	2	svm	0	0.807142857142857
327	Clinical	TCGA_STAD	PFI	1	3	svm	0	0.7622377622377621
328	Clinical	TCGA_STAD	PFI	1	4	svm	0	0.592307692307692
329	Clinical	TCGA_STAD	PFI	1	5	svm	0	0.6923076923076921
330	Clinical	TCGA_STAD	PFI	2	1	svm	0	0.8142857142857142
331	Clinical	TCGA_STAD	PFI	2	2	svm	0	0.8
332	Clinical	TCGA_STAD	PFI	2	3	svm	0	0.6853146853146851
333	Clinical	TCGA_STAD	PFI	2	4	svm	0	0.680769230769231
334	Clinical	TCGA_STAD	PFI	2	5	svm	0	0.576923076923077
335	Clinical	TCGA_STAD	PFI	3	1	svm	0	0.842857142857143
336	Clinical	TCGA_STAD	PFI	3	2	svm	0	0.6785714285714279
337	Clinical	TCGA_STAD	PFI	3	3	svm	0	0.8111888111888109
338	Clinical	TCGA_STAD	PFI	3	4	svm	0	0.592307692307692
339	Clinical	TCGA_STAD	PFI	3	5	svm	0	0.946153846153846
340	Clinical	TCGA_STAD	PFI	4	1	svm	0	0.7785714285714291
341	Clinical	TCGA_STAD	PFI	4	2	svm	0	0.6428571428571429
342	Clinical	TCGA_STAD	PFI	4	3	svm	0	0.8601398601398599
343	Clinical	TCGA_STAD	PFI	4	4	svm	0	0.707692307692308
344	Clinical	TCGA_STAD	PFI	4	5	svm	0	0.7153846153846151
345	Clinical	TCGA_STAD	PFI	5	1	svm	0	0.5928571428571429
346	Clinical	TCGA_STAD	PFI	5	2	svm	0	0.707142857142857
347	Clinical	TCGA_STAD	PFI	5	3	svm	0	0.818181818181818
348	Clinical	TCGA_STAD	PFI	5	4	svm	0	0.8846153846153849
349	Clinical	TCGA_STAD	PFI	5	5	svm	0	0.923076923076923
350	Clinical	TCGA_STAD	PFI	1	1	xgboost	0	0.7642857142857141
351	Clinical	TCGA_STAD	PFI	1	2	xgboost	0	0.6892857142857141
352	Clinical	TCGA_STAD	PFI	1	3	xgboost	0	0.716783216783217
353	Clinical	TCGA_STAD	PFI	1	4	xgboost	0	0.653846153846154
354	Clinical	TCGA_STAD	PFI	1	5	xgboost	0	0.611538461538462
355	Clinical	TCGA_STAD	PFI	2	1	xgboost	0	0.7
356	Clinical	TCGA_STAD	PFI	2	2	xgboost	0	0.8214285714285721
357	Clinical	TCGA_STAD	PFI	2	3	xgboost	0	0.555944055944056
358	Clinical	TCGA_STAD	PFI	2	4	xgboost	0	0.746153846153846
359	Clinical	TCGA_STAD	PFI	2	5	xgboost	0	0.42307692307692296
360	Clinical	TCGA_STAD	PFI	3	1	xgboost	0	0.842857142857143
361	Clinical	TCGA_STAD	PFI	3	2	xgboost	0	0.775
362	Clinical	TCGA_STAD	PFI	3	3	xgboost	0	0.706293706293706
363	Clinical	TCGA_STAD	PFI	3	4	xgboost	0	0.638461538461539
364	Clinical	TCGA_STAD	PFI	3	5	xgboost	0	0.861538461538462
365	Clinical	TCGA_STAD	PFI	4	1	xgboost	0	0.7
366	Clinical	TCGA_STAD	PFI	4	2	xgboost	0	0.742857142857143
367	Clinical	TCGA_STAD	PFI	4	3	xgboost	0	0.7762237762237759
368	Clinical	TCGA_STAD	PFI	4	4	xgboost	0	0.6961538461538461
369	Clinical	TCGA_STAD	PFI	4	5	xgboost	0	0.746153846153846
370	Clinical	TCGA_STAD	PFI	5	1	xgboost	0	0.7214285714285709
371	Clinical	TCGA_STAD	PFI	5	2	xgboost	0	0.792857142857143
372	Clinical	TCGA_STAD	PFI	5	3	xgboost	0	0.4405594405594411
373	Clinical	TCGA_STAD	PFI	5	4	xgboost	0	0.626923076923077
374	Clinical	TCGA_STAD	PFI	5	5	xgboost	0	0.815384615384615
375	Clinical	TCGA_STAD	PFI	1	1	logistic_regression	0	0.7142857142857142
376	Clinical	TCGA_STAD	PFI	1	2	logistic_regression	0	0.7142857142857142
377	Clinical	TCGA_STAD	PFI	1	3	logistic_regression	0	0.65034965034965
378	Clinical	TCGA_STAD	PFI	1	4	logistic_regression	0	0.546153846153846
379	Clinical	TCGA_STAD	PFI	1	5	logistic_regression	0	0.6923076923076921
380	Clinical	TCGA_STAD	PFI	2	1	logistic_regression	0	0.792857142857143
381	Clinical	TCGA_STAD	PFI	2	2	logistic_regression	0	0.8714285714285709
382	Clinical	TCGA_STAD	PFI	2	3	logistic_regression	0	0.4615384615384621
383	Clinical	TCGA_STAD	PFI	2	4	logistic_regression	0	0.853846153846154
384	Clinical	TCGA_STAD	PFI	2	5	logistic_regression	0	0.584615384615385
385	Clinical	TCGA_STAD	PFI	3	1	logistic_regression	0	0.8785714285714291
386	Clinical	TCGA_STAD	PFI	3	2	logistic_regression	0	0.7357142857142859
387	Clinical	TCGA_STAD	PFI	3	3	logistic_regression	0	0.8041958041958042
